id,type,noun,nountw,verb,verbtw,adj,adjtw,nickname,sentence,sentencetw,adverb,adverbtw,,,,,,,
1,1,Introduction,介紹,,,,,,,,,,,,,,,,
2,10,latest,新東西,,,,最新,,,,,,,,,,,,
3,1,version,版本,,,,,,,,,,,,,,,,
4,1,documentation,文件資料,,,,,,,,,,,,,,,,
5,1,legacy ,遺產,,,,,,,,,,,,,,,,
6,1,pane,窗格,,,,,,,,,,,,,,,,
7,1,leverage ,利用,,,,,,,,,,,,,,,,
8,2,,,integrate ,整合,,,,,,,,,,,,,,
9,3,,,,,robust ,強大的,,,,,,,,,,,,
10,1,functionality ,功能性,,,,,,,,,,,,,,,,
11,11,diagram,圖表,,圖解,,,,,,,,,,,,,,
12,1,relationship ,關係,,,,,,,,,,,,,,,,
13,11,terms ,條款,,表示,,,,,,,,,,,,,,
14,2,,,define ,限定,,,,,,,,,,,,,,
15,1,component,組件,,,,,,,,,,,,,,,,
16,1,fuigure,數字,,,,,圖,,,,,,,,,,,
17,2,,,provides ,提供,,,,,,,,,,,,,,
18,1,option ,選項,,,,,,,,,,,,,,,,
19,11,access?,存取,,訪問,,,,,,,,,,,,,,
20,3,,,,,collaborative ,合作的,,,,,,,,,,,,
21,1,folders,資料夾,,,,,,,,,,,,,,,,
22,1,solution,解,,,,,解決方案,,,,,,,,,,,
23,1,interface?,接口,,,,,介面,,,,,,,,,,,
24,2,,,manages ,管理,,,,,,,,,,,,,,
25,1,files?,檔案,,,,,,,,,,,,,,,,
26,1,editor,編輯,,,,,,,,,,,,,,,,
27,1,spreadsheet,電子表格,,,,,,,,,,,,,,,,
28,1,processor?,處理器,,,,,,,,,,,,,,,,
29,3,,,,,specific  ,特定得,,,,,,,,,,,,
30,1,ownership?,所有權,,,,,,,,,,,,,,,,
31,12,content ,內容,,滿足,,滿意,,,,,,,,,,,,
32,1,remains ,殘餘,,,,,仍然,,,,,,,,,,,
33,10,individual ,個人,,,,個別,,,,,,,,,,,,
34,1,authorization?,授權書,,,,,,,,,,,,,,,,
35,1,protocol?,協議,,,,,,,,,,,,,,,,
36,2,,,requires ,要求,,,,,,,,,,,,,,
37,2,,,authenticate?,認證,,,,,,,,,,,,,,
38,1,application?,應用,,,,,,,,,,,,,,,,
39,11,handle,把手,,處理,,,,,,,,,,,,,,
40,12, token,標記,,象徵,,象徵性的,,,,,,,,,,,,
41,10,multiple ,倍數,,,,多,,,,,,,,,,,,
42,2,,,granted?,准許,,,,,,,,,,,,,,
43,12,complex?,綜合,,複雜,,複雜的,,,,,,,,,,,,
44,1,metadata ,元數據,,,,,,,,,,,,,,,,
45,1,resource,資源,,,,,,,,,,,,,,,,
46,11,combine?,聯合,,結合,,,,,,,,,,,,,,
47,2,,,modifie,修改,,,,,,,,,,,,,,
48,1,shortcuts,捷徑,,,,,快捷鍵,,,,,,,,,,,
49,10,external?,外面,,,,外部,,,,,,,,,,,,
50,1,links?,鏈接,,,,,,,,,,,,,,,,
51,3,,,,,dedicated?,專用,,,,,,,,,,,,
52,11,standard?,標準,,,,正規,,,,,,,,,,,,
53,12,interact?,幕間休息,,相互作用,,,,,,,,,,,,,,
54,14, ,,,,,,,integration overview,整合概述,,,,,,,,,
55,1,steps,步,,,,,,,,,,,,,,,,
56,2,,,configure,配置,,,,,,,,,,,,,,
57,2,,, enable,啟動,,,,,,,,,,,,,,
58,1,platform?,平台,,,,,,,,,,,,,,,,
